Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
Bat Cave,prod,"bat-cave.dev.umn.edu, bat-cave.stg.umn.edu",michaelw,bat-cave.umn.edu,CBS - College of Biological Sciences,
Speaking Science,prod,"speakingscience.dev.umn.edu, speakingscience.stg.umn.edu",sxenos,speakingscience.umn.edu,CBS - College of Biological Sciences,
Naismet 2018,"test, prod","naismet2018.stg.umn.edu, naismet2018.dev.umn.edu, naismet2018.dl9.umn.edu",allene,naismet2018.umn.edu,CBS - College of Biological Sciences,
Nanoliter Crystallization Facility,"dev, prod","ncf.dev.umn.edu, ncf.stg.umn.edu",shixx023,ncf.umn.edu,CBS - College of Biological Sciences,
Railroad Club at the University of Minnesota,"dev, test, prod","rrclub.stg.umn.edu, rrclub.dev.umn.edu, rrclub.dl9.umn.edu",galat002,rrclub.umn.edu,CBS - College of Biological Sciences,
Campaign for Cedar Creek,prod,"mnecologywalk.dev.umn.edu, mnecologywalk.stg.umn.edu",sxenos,mnecologywalk.umn.edu,CBS - College of Biological Sciences,
Costa Lab,"test, prod","costalab.stg.umn.edu, costalab.dev.umn.edu, costalab.dl8.umn.edu",kcosta,costalab.umn.edu,CBS - College of Biological Sciences,
Behrens Lab,"dev, test, prod","behrenslab.dl8.umn.edu, behrenslab.stg.umn.edu, behrenslab.umn.edu",sbehrens,behrenslab.umn.edu,CBS - College of Biological Sciences,
Information Technology Infrastructure Accreditation,prod,"iti.dev.umn.edu, iti.stg.umn.edu",couli005,iti.umn.edu,CCAPS - Continuing and Professional Studies,
CIS Database User Guide,"dev, test, prod","db-user-guide.stg.umn.edu, db-user-guide.dev.umn.edu, db-user-guide.dl9.umn.edu",ccecis,db-user-guide.umn.edu,CCAPS - Continuing and Professional Studies,
Student Help,"dev, test, prod","studenthelp.stg.umn.edu, studenthelp.dev.umn.edu",joh04979,studenthelp.umn.edu,CCAPS - Continuing and Professional Studies,
Learning in the New Millennium: Teachers as Designers of Learning,"test, prod","authenticlearning.stg.umn.edu, authenticlearning.dev.umn.edu, authenticlearning.dl9.umn.edu",reill110,authenticlearning.umn.edu,CCAPS - Continuing and Professional Studies,
APS Homebase,"test, prod","apshomebase.stg.umn.edu, apshomebase.dev.umn.edu, apshomebase.dl9.umn.edu",joh04979,apshomebase.umn.edu,CCAPS - Continuing and Professional Studies,
CCAPS Conference,"dev, test, prod","conference.dev.umn.edu, conference.stg.umn.edu",bcross,conference.umn.edu,CCAPS - Continuing and Professional Studies,
Minnesota English Language Program Homebase,"test, prod","melphomebase.stg.umn.edu, melphomebase.dl8.umn.edu, melphomebase.dev.umn.edu","joh04979, cleme050",melphomebase.umn.edu,CCAPS - Continuing and Professional Studies,
Digital Storytelling,"test, prod","digitalstory.dev.umn.edu, digitalstory.stg.umn.edu, digitalstory.dl8.umn.edu",stein995,digitalstory.umn.edu,CCAPS - Continuing and Professional Studies,
Antimicrobial Resistance Learning Site,"dev, test, prod","amrls.dev.umn.edu, amrls.stg.umn.edu, amrls.umn.edu, www.amrls.umn.edu",valla020,amrls.umn.edu,CCAPS - Continuing and Professional Studies,
Design Assist - Minnesota Design Center (MDC),"test, prod","designassist.dev.umn.edu, designassist.stg.umn.edu","hang0049, zhu00351",designassist.umn.edu,CDES - College of Design,
The College of Design Scholar Site,"dev, test, prod","designscholar.dev.umn.edu, designscholar.stg.umn.edu","chen8732, thale, thom8963",designscholar.umn.edu,CDES - College of Design,
Laura Musacchio,prod,"musacchio.dev.umn.edu, musacchio.stg.umn.edu",musac003,musacchio.umn.edu,CDES - College of Design,
University of Minnesota Juneteenth Celebration,prod,"juneteenth.dev.umn.edu, juneteenth.stg.umn.edu",moses,juneteenth.umn.edu,CDES - College of Design,
E-Games Lab,prod,"egameslab.dev.umn.edu, egameslab.stg.umn.edu","lars7049, malini",egameslab.umn.edu,CDES - College of Design,
Design for Youth,prod,"designforyouth.dev.umn.edu, designforyouth.stg.umn.edu",robin003,designforyouth.umn.edu,CDES - College of Design,
Marvin Collaboration,prod,"marvincollaboration.dev.umn.edu, marvincollaboration.stg.umn.edu",guzow001,marvincollaboration.umn.edu,CDES - College of Design,
Destination Discovery St Paul,prod,"destinationdiscovery.dev.umn.edu, destinationdiscovery.stg.umn.edu",s-yang,destinationdiscovery.umn.edu,CDES - College of Design,
Masters of Science in Research Practices,prod,"msrp-design.dev.umn.edu, msrp-design.stg.umn.edu",kagez001,msrp.design.umn.edu,CDES - College of Design,
Biophilic Net-Positive Design Project,"test, prod","biophilic-net-positive.dev.umn.edu, biophilic-net-positive.stg.umn.edu, biophilicdesign.umn.edu","guzow001, walla610, sheri141",biophilic-net-positive.umn.edu,CDES - College of Design,
Tarlov Cyst Project,prod,"tarlovcystproject.dev.umn.edu, tarlovcystproject.stg.umn.edu",tric0001,tarlovcystproject.umn.edu,CDES - College of Design,
Diversity and Design Program,prod,ddp.dev.umn.edu,"asamo015, aasojo",ddp.umn.edu,CDES - College of Design,
Multidisciplinary Institute for Child Welfare,prod,"micw.umn.edu, micw.dev.umn.edu, micw.stg.umn.edu",nich0121,micw.umn.edu,CEHD - College of Education & Human Development,
Teaching Climate Justice with Young People’s Literatures and Media,prod,"climatejusticek12.dev.umn.edu, climatejusticek12.stg.umn.edu",klees023,climatejusticek12.umn.edu,CEHD - College of Education & Human Development,
Tucker Center,prod,"tuckercenter.dev.umn.edu, tuckercenter.stg.umn.edu, tuckercenter.prd.umn.edu",jeff,tuckercenter.umn.edu,CEHD - College of Education & Human Development,
Circle Project,prod,"circle-project.dev.umn.edu, circle-project.stg.umn.edu",jeff,circle-project.umn.edu,CEHD - College of Education & Human Development,
Northern Lights Computing Center,"dev, test, prod","northern-lights.dev.umn.edu, northern-lights.stg.umn.edu, northernlights.umn.edu","jbehr, turg0018",northern-lights.umn.edu,CEHD - College of Education & Human Development,
Knowledge for Parents,prod,"knowledgeforparents.dev.umn.edu, knowledgeforparents.stg.umn.edu",roger324,knowledgeforparents.umn.edu,CEHD - College of Education & Human Development,
Positive Recovery Journaling Counselor Study,prod,"positiverecoveryjournalingstudy.dev.umn.edu, positiverecoveryjournalingstudy.stg.umn.edu, prjstudy.umn.edu",blix0009,prjstudy.umn.edu,CEHD - College of Education & Human Development,
e-portfolio,prod,"wburton.dev.umn.edu, wburton.stg.umn.edu",burt0341,wburton.umn.edu,CEHD - College of Education & Human Development,
Children's Literature Program,"dev, test, prod","childlit.stg.umn.edu, childlit.dev.umn.edu, childlit.dl9.umn.edu",ksilver,childlit.umn.edu,CEHD - College of Education & Human Development,
Asian Pacific American Resource Center,"dev, test, prod","aparc.stg.umn.edu, aparc.dev.umn.edu, aparc.dl9.umn.edu",kher,aparc.umn.edu,CEHD - College of Education & Human Development,
Human Capital Research Collaborative,"dev, test, prod","hcrc.stg.umn.edu, hcrc.dev.umn.edu, hcrc.dl9.umn.edu","crb, rutki004",hcrc.umn.edu,CEHD - College of Education & Human Development,
University of Minnesota Lab School,"test, prod","newlabschool.stg.umn.edu, newlabschool.dev.umn.edu, newlabschool.dl9.umn.edu",jeff,newlabschool.umn.edu,CEHD - College of Education & Human Development,
The ESPRIT Project,"test, prod","esprit.stg.umn.edu, esprit.dev.umn.edu, esprit.dl9.umn.edu",keisha,esprit.umn.edu,CEHD - College of Education & Human Development,
Center for Climate Literacy,prod,"climateliteracy.dev.umn.edu, climateliteracy.stg.umn.edu","mco, ksilver",climateliteracy.umn.edu,CEHD - College of Education & Human Development,
youthroc.umn.edu,prod,"youthroc.dev.umn.edu, youthroc.stg.umn.edu",jeff,youthroc.umn.edu,CEHD - College of Education & Human Development,
Curriculum & Instruction Library,"dev, test, prod","curriculumlibrary.stg.umn.edu, curriculumlibrary.dev.umn.edu, curriculumlibrary.dl9.umn.edu","ksilver, jbehr, turg0018",curriculumlibrary.umn.edu,CEHD - College of Education & Human Development,
kinquiet.umn.edu,prod,"kinquiet.dev.umn.edu, kinquiet.stg.umn.edu",sweet006,kinquiet.umn.edu,CEHD - College of Education & Human Development,
College of Education and Human Development,prod,"cehd-lite.dev.umn.edu, cehd-lite.stg.umn.edu","jbehr, turg0018",cehd-lite.umn.edu,CEHD - College of Education & Human Development,
Gamble-Skogmo Chair in Child Welfare and Youth Policy,prod,"gamble-skogmo.dev.umn.edu, gamble-skogmo.stg.umn.edu",colby041,gamble-skogmo.umn.edu,CEHD - College of Education & Human Development,
lt-d8.umn.edu,"dev, test, prod","lt-d8.dev.umn.edu, lt-d8.stg.umn.edu, learningtechnologies.umn.edu, lt.umn.edu, www.lt.umn.edu","shui0003, jeff, jbartucz, valde200, jbehr, turg0018, scharber",lt-d8.umn.edu,CEHD - College of Education & Human Development,
Research Methodology Consulting Center,prod,"rmcc.umn.edu, rmcc.dev.umn.edu",jeff,rmcc.umn.edu,CEHD - College of Education & Human Development,
Dual Language and Immersion Teacher Assessment Rubrics,prod,"dliteachingrubrics.umn.edu, dliteachingrubrics.dev.umn.edu","djtedick, johns484, carlatec, schul160, romju002",dliteachingrubrics.umn.edu,CEHD - College of Education & Human Development,
Human Capital Research Collaborative,prod,hcrc.dl8.umn.edu,rau00024,hcrc.umn.edu,CEHD - College of Education & Human Development,
Tech People,prod,tech-people.dl8.umn.edu,jeff,tech-people.umn.edu,CEHD - College of Education & Human Development,
University Coworking,prod,coworking.umn.edu,jeff,coworking.umn.edu,CEHD - College of Education & Human Development,
p2n.umn.edu,prod,p2n.umn.edu,ksilver,p2n.umn.edu,CEHD - College of Education & Human Development,
CEHD Web Strategy,prod,web-strategy.umn.edu,sandre,web-strategy.umn.edu,CEHD - College of Education & Human Development,
CEHD Folton,"dev, test, prod","folton.stg.umn.edu, folton.dev.umn.edu",jeff,folton.umn.edu,CEHD - College of Education & Human Development,
FAST for Success,prod,fastforsuccess.umn.edu,"whit0782, jeff",fastforsuccess.umn.edu,CEHD - College of Education & Human Development,
Curriculum and Instruction Graduate Student Association,"test, prod","cigsa.dl8.umn.edu, cigsa.dev.umn.edu, cigsa.stg.umn.edu","bedar029, jbehr, turg0018",cigsa.umn.edu,CEHD - ICI - Institute on Community Integration,
CFANS websites,prod,"websites-cfans.dev.umn.edu, websites-cfans.stg.umn.edu",lamxx025,websites.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
LivestockEnvEng,prod,"livestockenveng-bbe.dev.umn.edu, livestockenveng-bbe.stg.umn.edu",lamxx025,livestockenveng.bbe.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Agronomy Intranet,prod,"agronomyintranet-cfans.dev.umn.edu, agronomyintranet-cfans.stg.umn.edu",lamxx025,agronomyintranet.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forestry intranet,prod,"intranet-forestry.dev.umn.edu, intranet-forestry.stg.umn.edu","guerber, lamxx025",intranet.forestry.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
UlrikeTschirner,prod,"ulriketschirner-cfans.dev.umn.edu, ulriketschirner-cfans.stg.umn.edu","tschi007, lamxx025",ulriketschirner.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
University of Minnesota Plant Sciences Symposium,"test, prod","plantsciencesymposium.stg.umn.edu, plantsciencesymposium.dev.umn.edu, plantsciencesymposium.dl9.umn.edu",ley00022,plantsciencesymposium.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forest Carbon in Minnesota,prod,"carbon.dev.umn.edu, carbon.stg.umn.edu",russellm,carbon.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Biofuels Coproducts,prod,"biofuelscoproducts.stg.umn.edu, biofuelscoproducts.dev.umn.edu, biofuelscoproducts.dl9.umn.edu, www.biofuelscoproducts.umn.edu",lamxx025,biofuelscoproducts.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Center for Forest Ecology,prod,"cffe-cfans.dev.umn.edu, cffe-cfans.stg.umn.edu, cffe-cfans.dl9.umn.edu, www.cffe.cfans.umn.edu",lamxx025,cffe.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Feasibility of Restoring Elk to Northeastern Minnesota,"test, prod","elk.stg.umn.edu, elk.dev.umn.edu, elk.dl9.umn.edu",walbe032,elk.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Drupal Lite CFANS,"dev, test, prod","drupallite.cfans.stg.umn.edu, drupallite.cfans.dev.umn.edu, drupallite.cfans.dl8.umn.edu, drupallite.cfans.umn.edu",lamxx025,drupallite.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Citizen Science,"test, prod","www.citizenscience.umn.edu, citizenscience.stg.umn.edu, citizenscience.dev.umn.edu, citizenscience.dl8.umn.edu",lamxx025,citizenscience.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Philip C. Hamm Lecture and Scholarship Program,"dev, test, prod","www.hammscholarship.umn.edu, hammscholarship.stg.umn.edu, hammscholarship.dev.umn.edu, hammscholarship.dl8.umn.edu",lamxx025,hammscholarship.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
All About Corn,"test, prod","allaboutcorn.dl8.umn.edu, www.allaboutcorn.umn.edu, allaboutcorn.stg.umn.edu",lamxx025,allaboutcorn.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
CFANS Alumni Global Learning Adventure,"test, prod","agla.stg.umn.edu, agla.dl8.umn.edu, www.agla.cfans.umn.edu, agla.cfans.umn.edu",lamxx025,agla.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
CFANS Clone,"dev, test, prod","cfansclone.dev.umn.edu, cfansclone.stg.umn.edu",lamxx025,cfansclone.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Minnesota Wood Innovation Team,"test, prod","woodinnovation.dl8.umn.edu, woodinnovation.dev.umn.edu, woodinnovation.stg.umn.edu",lamxx025,woodinnovation.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forest Ecosystem Health @ UMN,"test, prod","health.dl8.umn.edu, health.dl8.stg.umn.edu, health.dl8.dev.umn.edu, health.forestry.umn.edu",lamxx025,health.forestry.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Ringwald Lab,prod,"ringwaldlab.psych.umn.edu, ringwaldlab-psych.stg.umn.edu, ringwaldlab-psych.dev.umn.edu",smoeller,ringwaldlab.psych.umn.edu,CLA - College of Liberal Arts,
UMPhil,prod,"umphil.dev.umn.edu, umphil.stg.umn.edu",grand006,umphil.umn.edu,CLA - College of Liberal Arts,
Human Writes,prod,"humanwrites.stg.umn.edu, humanwrites.dev.umn.edu",chri2037,humanwrites.umn.edu,CLA - College of Liberal Arts,
Minnesota Journalism Center Ecosystem Mapping Project,prod,"newsmap.dev.umn.edu, newsmap.stg.umn.edu",bjtoff,newsmap.umn.edu,CLA - College of Liberal Arts,
The Minnesota Poll: Public Opinion Research,prod,"mnpoll.umn.edu, mnpoll.dev.umn.edu, mnpoll.stg.umn.edu",grann049,mnpoll.umn.edu,CLA - College of Liberal Arts,
ArTeS Collaborative Research Studio,prod,"artes.dev.umn.edu, artes.stg.umn.edu",willow,artes.umn.edu,CLA - College of Liberal Arts,
Geospatial Data Intelligence Lab,prod,"geodi.dev.umn.edu, geodi.stg.umn.edu",dizhu,geodi.umn.edu,CLA - College of Liberal Arts,
UMN GooseChase,prod,"umngoosechase.dev.umn.edu, umngoosechase.stg.umn.edu",wzeitz,umngoosechase.umn.edu,CLA - College of Liberal Arts,
Woodward Lab,prod,"woodwardlab-psych.dev.umn.edu, woodwardlab-psych.stg.umn.edu",smoeller,woodwardlab.psych.umn.edu,CLA - College of Liberal Arts,
MCTFR Administration Intranet,prod,"intranet-mctfr.dev.umn.edu, intranet-mctfr.stg.umn.edu",amsuchy,intranet.mctfr.umn.edu,CLA - College of Liberal Arts,
Body Knowledge,prod,"bodyknowledge.dev.umn.edu, bodyknowledge.stg.umn.edu",mjeudy,bodyknowledge.umn.edu,CLA - College of Liberal Arts,
CLA Strategic Innovation Office,prod,"latisstrategy.dev.umn.edu, latisstrategy.stg.umn.edu",hansenj,latisstrategy.umn.edu,CLA - College of Liberal Arts,
"Creativity, Mental Health and the Developing Brain in Adolescence and Young Adulthood",prod,"creativity-central.dev.umn.edu, creativity-central.stg.umn.edu","smoeller, gree3161",creativity-central.umn.edu,CLA - College of Liberal Arts,
Professor Geoffrey Hellman's website,"test, prod","hellman.stg.umn.edu, hellman.dev.umn.edu, hellman.dl9.umn.edu",grand006,hellman.umn.edu,CLA - College of Liberal Arts,
Humanities Without Walls Career Diversity Workshop 2023,"dev, test, prod","hww2023.dev.umn.edu, hww2023.stg.umn.edu",hofma071,hww2023.umn.edu,CLA - College of Liberal Arts,
